mode,result,failure_reason,section,metric_key,metric_label,value,unit,formula,metric_schema_version,metric_description_id,section_readable_ja,metric_readable_ja,metric_category,artifact,phase,action,event,stat
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,traditional_solve_control_problem_total_time_time_without_scope_count_overhead,solveControlProblem (Traditional DUC) / solveControlProblem 全体時間 / 評価用カウント時間除外後,1238243,ms,traditional_solve_control_problem_total_time - traditional_solve_control_problem_total_time_scope_count_overhead_time,2026-08-01-memory-v2,time.time.md_8672db491bdae30b,評価用カウント時間 / 関数スコープ別,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,traditional_safety_environment_pruning_time_scope_count_overhead_time,solveControlProblem (Traditional DUC) / metaEnv からエラーを枝刈りして safetyEnv を構築する時間 / 評価用カウント時間,73,ms,この関数スコープが開いている間に、状態数・遷移数などの評価用カウントとして加算された時間。,2026-08-01-memory-v2,time.count_time.md_55b2d090b9f060fb,評価用カウント時間 / 関数スコープ別,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,traditional_safety_environment_pruning_time_time_without_scope_count_overhead,solveControlProblem (Traditional DUC) / metaEnv からエラーを枝刈りして safetyEnv を構築する時間 / 評価用カウント時間除外後,219461,ms,traditional_safety_environment_pruning_time - traditional_safety_environment_pruning_time_scope_count_overhead_time,2026-08-01-memory-v2,time.time.md_44c1ce805af7c7f2,評価用カウント時間 / 関数スコープ別,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_observed_total_time,実測総時間,1242057,ms,HPWindow の「合成ボタンを押してから合成完了までの時間」または runner の「合成全体実行時間」。,2026-08-01-memory-v2,time.time.md_73368da973186cb1,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_common_preprocess_time,除外する共通前処理時間,1703,ms,Old Controller 合成時間 + Goal 定義と controllable action 集合生成時間 + Mapping Environment Component 合成時間。,2026-08-01-memory-v2,time.time.md_cc8bdbce4d768019,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_evaluation_output_time,評価結果出力時間（比較から除外）,2,ms,評価ヘッダ出力時間 + 詳細評価レポート出力時間 + 評価サマリ出力時間。 CSV 出力時間は CSV 出力後に追加行として記録する。,2026-08-01-memory-v2,time.time.md_3ab62b19882e4668,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,auto_a6c340b0,入力規模集計時間（評価用・参考）,193,ms,入力規模セクションを作る時間。状態数・遷移数 CountTime と重なる可能性があるため、差し引き式には入れない参考値。,2026-08-01-memory-v2,time.time.md_54e6afe36fa14eca,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,auto_d7845043,GUI描画時間（比較から除外候補）,0,ms,HPWindow の「コントローラ描画時間」。アルゴリズム比較からは除外する候補。,2026-08-01-memory-v2,time.time.md_310850f70d73fee5,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_observed_time_without_parse_count_evaluation_output_and_draw,大枠比較用時間（構文解析・評価・描画除外）,1241562,ms,実測総時間 - 構文解析時間 - 実測総時間内の評価用カウント時間 - 評価結果出力時間 - GUI描画時間。共通前処理は差し引かない。,2026-08-01-memory-v2,time.time.md_e0949c47eb2de976,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_strict_observed_time_without_parse_common_preprocess_count_evaluation_output_and_draw,厳密比較用時間（共通前処理も除外）,1239859,ms,大枠比較用時間 - 除外する共通前処理時間。,2026-08-01-memory-v2,time.time.md_5b474e57b635517a,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_observed_total_based_unclassified_time,実測総時間ベースの未分類時間（参考）,0,ms,厳密比較用時間 - 手法固有として個別計測できた時間。 GUI 周辺なども含むため参考値。,2026-08-01-memory-v2,time.time.md_6ef35a89da0313e0,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_method_specific_time,手法固有として個別計測できた時間,1239902,ms,Traditional DUC ゴール条件生成時間 + Traditional DUC 安全性ゴール条件生成時間 + Traditional DUC Mapping Environment Component 並列合成時間 + generateController の全体実行時間 + removeOldTransitions 実行時間。,2026-08-01-memory-v2,time.time.md_e6a490f953cb394e,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_controller_synthesis_time_without_common,共通処理を除いたコントローラ合成時間,1240144,ms,コントローラ合成時間 - 除外する共通前処理時間。,2026-08-01-memory-v2,time.time.md_195a0c144480c066,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_unclassified_non_common_time,未分類の非共通時間,242,ms,共通処理を除いたコントローラ合成時間 - 手法固有として個別計測できた時間。,2026-08-01-memory-v2,time.time.md_1ef3896d2880acad,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_core_synthesis_time,内部計測の中核処理時間（参考）,1238875,ms,Traditional DUC 更新用環境構築時間 + 最終コントローラ合成処理全体時間の内部タイマー値。評価用カウント時間を含み得るため参考値。,2026-08-01-memory-v2,time.time.md_52265109d335bd99,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_traditional_specific_preparation_time,Traditional DUC 固有準備時間,132,ms,Traditional DUC ゴール条件生成時間 + Traditional DUC 安全性ゴール条件生成時間 + Traditional DUC Mapping Environment Component 並列合成時間。,2026-08-01-memory-v2,time.time.md_9556a32d45a57255,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_traditional_eu_and_gr1_core_time,Traditional DUC の更新用環境構築+最終コントローラ合成時間（中核）,1238875,ms,Traditional DUC 更新用環境構築時間 + 最終コントローラ合成処理全体時間。,2026-08-01-memory-v2,time.time.md_98a58ba2407c6517,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,比較用時間集計,comparison_traditional_old_action_postprocess_time,Traditional DUC の.old後処理時間,895,ms,TransitionSystemDispatcher の removeOldTransitions 実行時間。OTF-DUC では実行しない。,2026-08-01-memory-v2,time.time.md_5177a8387656f12c,比較用時間集計,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,Run,evaluation_csv_file,evaluation CSV file,Experiment\diagnostics\gc_baseline_drone_2x2x2\run_02\result\DroneRebuilt_TemporaryArriveGeofencePolicyRollout_2Drones_2x2x2_GCDiagnostic\Traditional\drone_rebuilt_2drones_2x2x2_gc_diagnostic_traditional_no_tr_evaluation_UpdCont.csv,path,,2026-08-01-memory-v2,metric.path.md_75c5c97fdc9c792c,実行情報,path,その他,,,,,path
Traditional DUC,SUCCESS,,Run,batch_case_id,batch case id,drone_rebuilt_2drones_2x2x2_gc_diagnostic_traditional_no_tr,text,,2026-08-01-memory-v2,metric.batch_case_id.md_55498ab70827f590,実行情報,batch case id,その他,,,,,batch case id
